"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
-3.06768290308959,-4.96248123564119,-360.79683162619,-731.774645909854,-731.774645909854,-391.046037512063,-579.572865780247,-731.774645909854,-512.578791063642,-492.571253795893,-470.39536443493,-352.153407031391,-6.15468887266714,-199.393309740147,-169.225674412112,-106.718035612821,-134.993483119066,-575.888302680906,-631.308005589553,-12.7923957607911,-83.4552462053056,-73.6614232472402,-248.784376676397,-185.282357673893,-42.040594275507,-33.6551879000643,-18.2441617662562,-0.152630397469663,-2.45454389794967
-48.6110363882542,-56.7151294864401,-580.814447627667,-731.774645909854,-731.774645909854,-679.512350932681,-731.774645909854,-731.774645909854,-731.774645909854,-731.774645909854,-690.849368745539,-577.175834666482,-173.670760459778,-308.329982418834,-274.961588941707,-150.540954214005,-212.410822398514,-731.774645909854,-731.774645909854,-8.16167016120333,-79.497006302115,-86.1152661952586,-385.055810100159,-277.476704428459,-0.141191138877043,-32.4384032867503,-44.6502107203989,-11.6068626995375,-2.02964475476781
-274.172330030896,-55.4584199244687,-297.78979185036,-731.774645909854,-708.531236485618,-706.893232768619,-731.774645909854,-731.774645909854,-333.103115342387,-326.752224257937,-316.696072497044,-493.888917962482,-731.774645909854,-83.8037724993045,-13.7863728931691,-6.95568396526967,-26.220981295974,-731.774645909854,-571.406822474538,-104.246478570342,-7.81263008432106,-1.35093732973355,-1.3092244260604,-3.48511034034868,-731.774645909854,-1.39820564350676,-731.774645909854,-731.774645909854,-1.65065492252962
-57.5215945400568,-14.6837254504244,-58.9154415832626,-731.774645909854,-731.774645909854,-255.861378554227,-731.774645909854,-540.504171103486,-88.1969468226219,-144.671558452673,-116.501217791971,-98.6911528478774,-731.774645909854,-4.38439564473063,-0.423377604719365,-2.06714898267503,-12.8918079127797,-348.739885148753,-231.709660326415,-473.076068312704,-249.287089692483,-42.878666147722,-40.8186646788705,-55.3909810593046,-731.774645909854,-8.62242025837604,-731.774645909854,-731.774645909854,-1.58002842546233
-67.8310286271819,-23.5044124914264,-51.0114460677325,-731.774645909854,-731.774645909854,-251.675535816157,-731.774645909854,-553.223118793718,-75.7530704713205,-148.997653790767,-115.077800363057,-85.025178250752,-731.774645909854,-3.08387248057428,-0.2935359406681,-3.30347475775585,-8.58620998872341,-332.373620169249,-213.776891048987,-560.872283151118,-298.873815336998,-53.2045322174892,-55.1931464003532,-75.2206803553142,-731.774645909854,-9.36504162613731,-731.774645909854,-731.774645909854,-1.76277330352578
-75.5020109779996,-9.72279142730266,-85.3102476246096,-731.774645909854,-731.774645909854,-313.208155770109,-731.774645909854,-600.64483279621,-116.495846272729,-167.745555064299,-141.491746537932,-142.256740491703,-731.774645909854,-8.60591201177863,-1.52692395835363,-0.343265778011333,-12.5289215536315,-402.731215660305,-276.180611317889,-354.506478459599,-176.597891861058,-21.1123770003403,-26.1895768627801,-39.8865069265901,-731.774645909854,-7.13761040467663,-731.774645909854,-731.774645909854,-2.62684247960659
-50.5918825417072,-6.8278900787456,-91.1898258684327,-731.774645909854,-61.9003341995087,-237.488275180949,-329.312658331106,-459.646666836697,-158.607654627282,-147.271035700235,-141.331792165255,-148.524837035128,-383.215619149791,-28.4850496255063,-1.61942683097977,-1.27330813552039,-14.4362367135556,-371.151372993522,-311.475687802291,-179.244136754358,-116.909046359978,-30.6929677736826,-14.4099223047795,-9.47218255122817,-731.774645909854,-2.8472409393569,-731.774645909854,-731.774645909854,-0.770204524827998
-38.1679683792451,-6.96802673133816,-85.8180576656181,-731.774645909854,-172.545747105101,-213.554773405962,-282.02054936674,-427.166648154584,-150.36250916421,-140.84034171869,-136.227726014891,-136.177882967371,-319.972904331832,-30.9892058904406,-3.10236860796162,-2.79271297425621,-18.7182837365914,-347.404158985104,-303.297451198567,-183.475176436446,-136.21557462334,-39.8486024487426,-19.9798813252471,-11.8567967840621,-731.774645909854,-3.37188521919307,-731.774645909854,-731.774645909854,-0.152534709185836
-53.3172016378989,-4.81475840181529,-87.5045024085017,-731.774645909854,-731.774645909854,-273.303921264951,-498.248511158767,-521.116028458278,-149.76385987679,-151.262119651147,-137.971795563519,-150.522793263099,-722.032076361403,-17.3045831955714,-1.48237618902102,-0.463700170303886,-13.9518650145261,-419.384363033231,-298.133279302802,-249.836149663078,-126.252045223796,-22.0289193128924,-12.6414928444792,-17.0514299650481,-731.774645909854,-3.74679074611622,-731.774645909854,-731.774645909854,-2.18708221230564
-44.5164019502134,-6.7811819296769,-82.8560201360042,-731.774645909854,-85.446946965369,-235.529827258604,-371.365342349337,-463.027992918504,-151.716542699744,-141.047648399921,-132.832051333899,-139.318696187796,-496.663459631212,-23.2232871045454,-0.861823200368323,-1.11772737323202,-15.7840312830711,-375.737007200796,-296.62474428194,-219.622028059955,-132.370044218842,-31.9661400190426,-13.7231906661733,-13.2174746111843,-731.774645909854,-3.34847578106644,-731.774645909854,-731.774645909854,-1.54032837678912
